Address,ContractName,Balance,TxCount
0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0,BoomerangLiquidity,0 ,4
0x3cb8c8026557623bde4b3923c6ee0c398b85ce47,AchimPowh,0 ,4
0xdac15794f0fadfdcf3a93aeaabdc7cac19066724,GreenX,0 ,7
0xa05788bdc3024e13211da45b8f496855b8cceb7f,Electrium,0 ,3
0xfedd77fd22a5dcb4a028c8a42576cae11b7dac2f,Crowdsale,0 ,5
0xfffc5ae5939671192286a9ce37b2e6fe534ca49d,Token99,0.001 ,28
0x776ee4fd88660e9a12104a614b0cd29b4453daa7,FarChainToken,0 ,240
0x1db45a09efcdd8955b1c3bb855b5a8d333446bff,Share,0.6712 ,3
0x923641c6b80d8fc913ff883a5c523f47081bad92,Badge,0 ,3
0xaf6dbf545cc245c00b425d02e545b6ecc1527f3d,LSCKcoin,0 ,4
0xb32f6c232c7eeb2f563309a1a7ddcc2f86680070,PowX,1.447364991787530368 ,167
0x7183169973eda16209f66a602f2e27e1303bf414,BoomerangLiquidity,0 ,5
0x711a1836b306d2eac12129c0b97da8931ee80fe2,GeXCHANGE,0 ,9
0xe36eefab46f2fa5d4452f3e4d2c13108bf0c6b01,WineSupplyChain,0 ,6
0x67104e4ff34acdf64d58a829d055eb7cf4b5bb46,KARMA,0.464786956615472059 ,31
0x2aac6e4eb55d57f2a08d16d5000cfab7cebb4819,SHIT,0.130156499430459054 ,7
0x3cf81b7a8c20fc289feeacaa510cad4c00dbe43c,Prediction,0.13205 ,13
0x5ba37e0699e3ba8e6b553bfacd9b118b651532ef,EthsqrCore,0.167098878403245877 ,154
0xe60d0bea492740908478fd6ad68413e10554b393,EpicExchange,0 ,5
0xE77f30e108543372f405D2c0f95029c97a8622AD,AllstocksToken,0.21 ,6
0x0dd83b5013b2ad7094b1a7783d96ae0168f82621,FloraFicToken,0 ,3
0x8acfc0d6ddddcddaac8d5c88d281a95278e2bec5,AirDropToken,0 ,7
0x9a6a87ff80a327e10f995e747e77d4a29999175e,Quarters,0.2509842566 ,5
0x0ddc6021443855fbfe26fcdee4b36154f6b53817,EthMonoPoly,0.500013554334476235 ,39
0xc3a36fad9d3e87acbc69bcd06850dbf13db2ab59,Q2,0.0442913394 ,7
0x5510f1996e210659e135b05d6bf48d6682af23a7,eumPrivate,0 ,7
0x66997d14776f43887ef9d2B3c3D2c6dbd75bae86,Bastonet,0 ,4
0xa7446cbb3644d14b3ebb1a27aa3a9c479b93a650,Eggfrenzy,0.22749974090768384 ,42
0xd7c397c79ad774e88470d73b4a04a8970dbae7dd,CryptoHearthStone,0 ,14
0x0164c0d18bc6a444d506bb20ca4ed6a59ab15319,Bastonet,0 ,7
0x569708221bc339b4391bab9127422603250fc294,CloudX,0 ,3
0xbf483bcde5e951418cff8cdaf0020b963887c2d8,ACATokenSale,0 ,9
0x56b3184645c0ffe809b0ca07b0d7abc0ceef8282,MtTaborToken,0 ,3
0xb9907e0151e8c5937f17d0721953cf1ea114528e,Coke,0.000142857142857142 ,53
0xec3afd63f1c0633b98b2eaa7f0f80407426066ec,pow,0 ,57
0xceb99b21d2c9cb017d4fe97e48962a89e579b744,Bullex,0 ,6
0x299187bb996599f7fc82df025ee8964cafe3085a,Challenge,0.0001 ,5
0x002f06abe6995fd0ea4be011c53bfc989fa53ce0,TripCash,0 ,7
0x7afe338917a3c905571ffb0b7016ecc2ca3972a8,WavestreamPresale,0 ,24
0xbfe7deafa51587e00e1c5f24f8a16addea07104b,KingOfTheEthill,0.0025195025 ,6
0xb5c424cd005cd1ccc155654b551c4453346e0718,QUIZ_GAME,0 ,3
0xdb059e944ceb7062f62fc619f168036f3bb998d0,HumanStandardToken,0 ,3
0x6cfba3c7b4c944bdc9442c91d67d35d7c27fa430,OrphanToken,0 ,38
0xee4cbe4eca503fef5bfa9a66c9b7ac832853c085,Interim,0 ,6
0x1771e600e72cca46abeab857f301b6bf5a032ca7,Mainsale,0 ,299
0xaa4a3990673d9d913a24f89e956e7c02a03f9b08,MMONToken,0 ,5
0xf92aac1c1efbc2589639bac4ff8ced198a8bfb4d,ADT,0 ,15
0xf6c1a0c86f3343a43001340b230de6272626b898,ENBToken,0 ,5
0xcec1077309f29d0553f7197c0de3c0baedd8dbea,DSC,0 ,3
0xa0f075d5473467e4a8c82e2c58c4871bcff3a699,HDK_Crowdsale,0 ,4
0xc318e7c79c5f12f68481b59639e49303100f48e3,ThreeQueens,0 ,13
0xd86a85f5d68a4ade66cb66b8a6fa1ed3cb1cd6b4,CiceroToken,0 ,3
